Round,Salary
1,"7,377,569.00"
1,"7,049,260.00"
1,"6,840,339.00"
1,"6,601,571.00"
1,"6,183,723.00"
1,"5,437,572.00"
1,"4,840,647.00"
1,"4,243,725.00"
1,"4,213,879.00"
1,"4,049,724.00"
1,"3,796,033.00"
1,"3,437,878.00"
1,"3,348,340.00"
1,"3,199,111.00"
1,"3,139,419.00"
1,"2,960,340.00"
1,"2,900,647.00"
1,"2,826,034.00"
1,"2,781,263.00"
1,"2,766,341.00"
1,Forfeited
1,"2,721,571.00"
1,"2,691,726.00"
1,"2,632,032.00"
1,"2,602,189.00"
1,"2,572,341.00"
1,"2,542,495.00"
1,"2,527,571.00"
1,"2,407,820.00"
1,"2,344,404.00"
1,"2,291,285.00"
1,"2,257,081.00"
2,"1,826,188.00"
2,"1,811,263.00"
2,"1,796,341.00"
2,"1,766,496.00"
2,"1,754,557.00"
2,"1,727,696.00"
2,"1,700,832.00"
2,"1,676,958.00"
2,"1,653,080.00"
2,"1,626,218.00"
2,"1,602,342.00"
2,"1,579,590.00"
2,"1,547,722.00"
2,"1,513,400.00"
2,"1,468,034.00"
2,"1,438,188.00"
2,"1,408,341.00"
2,"1,378,497.00"
2,"1,348,650.00"
2,"1,318,804.00"
2,"1,288,958.00"
2,"1,259,111.00"
2,"1,229,265.00"
2,"1,214,343.00"
2,"1,205,387.00"
2,"1,190,466.00"
2,"1,169,571.00"
2,"1,160,618.00"
2,"1,148,680.00"
2,"1,139,725.00"
2,"1,136,742.00"
2,"1,130,773.00"
3,"1,071,051.00"
3,"1,068,435.00"
3,"1,068,174.00"
3,"1,065,358.00"
3,"1,062,282.00"
3,"1,056,419.00"
3,"1,052,424.00"
3,"1,049,604.00"
3,"1,045,806.00"
3,"1,043,923.00"
3,"1,041,014.00"
3,"1,032,783.00"
3,"1,031,854.00"
3,"1,030,194.00"
3,"1,026,805.00"
3,"1,023,381.00"
3,"1,019,957.00"
3,"1,017,532.00"
3,"1,012,598.00"
3,"1,009,086.00"
3,"1,007,118.00"
3,"1,003,784.00"
3,"1,000,663.00"
3,"998,958.00"
3,"998,394.00"
3,"998,112.00"
3,"997,828.00"
3,"996,414.00"
3,"993,583.00"
3,"990,753.00"
3,"987,922.00"
3,"985,093.00"
3,"980,991.00"
3,"980,991.00"
3,"980,991.00"
3,"980,991.00"
3,"980,991.00"
3,"980,991.00"
3,"980,991.00"
4,"976,888.00"
4,"971,853.00"
4,"971,135.00"
4,"969,776.00"
4,"967,747.00"
4,"966,572.00"
4,"965,779.00"
4,"964,665.00"
4,"963,433.00"
4,"961,929.00"
4,"958,368.00"
4,"957,885.00"
4,"957,064.00"
4,"956,859.00"
4,"955,832.00"
4,"953,229.00"
4,"952,398.00"
4,"950,501.00"
4,"948,511.00"
4,"947,245.00"
4,"945,971.00"
4,"944,100.00"
4,"941,775.00"
4,"941,775.00"
4,"939,857.00"
4,"938,327.00"
4,"936,070.00"
4,"935,092.00"
4,"932,844.00"
4,"931,267.00"
4,"928,715.00"
4,"926,047.00"
4,"887,214.00"
5,"848,379.00"
5,Forfeited
5,"846,775.00"
5,"846,343.00"
5,"844,448.00"
5,"842,197.00"
5,"841,524.00"
5,"840,841.00"
5,"840,612.00"
5,"840,386.00"
5,"838,765.00"
5,"838,011.00"
5,"837,646.00"
5,"837,533.00"
5,"837,326.00"
5,"837,262.00"
5,"836,759.00"
5,"836,223.00"
5,"835,480.00"
5,"835,247.00"
5,"834,452.00"
5,"834,083.00"
5,"833,275.00"
5,"832,923.00"
5,"831,497.00"
5,"831,305.00"
5,"830,572.00"
5,"828,279.00"
5,"827,084.00"
5,"825,230.00"
5,"824,316.00"
5,"823,175.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
5,"815,992.00"
6,"808,805.00"
6,"807,115.00"
6,"806,192.00"
6,"805,053.00"
6,"803,835.00"
6,"802,857.00"
6,"802,142.00"
6,"801,790.00"
6,"801,129.00"
6,"800,444.00"
6,"800,243.00"
6,"799,152.00"
6,"798,480.00"
6,"798,297.00"
6,"798,072.00"
6,"797,867.00"
6,"797,575.00"
6,"797,507.00"
6,"797,413.00"
6,"797,378.00"
6,"797,087.00"
6,"796,653.00"
6,"796,413.00"
6,"795,787.00"
6,"795,145.00"
6,"794,477.00"
6,"794,280.00"
6,"794,097.00"
6,"792,934.00"
6,"792,232.00"
6,"791,539.00"
6,"790,277.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
6,"785,917.00"
7,"781,554.00"
7,"781,452.00"
7,"780,814.00"
7,"780,568.00"
7,"779,739.00"
7,"779,093.00"
7,"778,634.00"
7,"778,506.00"
7,"778,416.00"
7,"778,222.00"
7,"777,663.00"
7,"777,506.00"
7,"777,503.00"
7,"777,125.00"
7,"777,115.00"
7,"777,011.00"
7,"776,407.00"
7,"775,950.00"
7,"775,541.00"
7,"774,472.00"
7,"773,460.00"
7,"773,227.00"
7,"772,984.00"
7,"772,745.00"
7,"772,564.00"
7,"772,367.00"
7,"772,184.00"
7,"772,004.00"
7,"771,726.00"
7,"771,522.00"
7,"771,231.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
7,"770,952.00"
