PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
1,CARfrom CHI,40969500,26976000,7449000
2,HOU,39132087,25639699,7114925
3,ARI,37962846,24789342,6902336
4,IND,36626531,23817477,6659369
5,SEAfrom DEN,34287999,22116726,6234182
6,DETfrom LAR,30112063,19079682,5474921
7,LV,26771313,16650045,4867511
8,ATL,23430562,14220409,4260102
9,CHIfrom CAR,23263335,14098789,4229697
10,PHIfrom NO,22344812,13430772,4062693
11,TEN,20925002,12398183,3804546
12,HOUfrom CLE,18920540,10940393,3440098
13,NYJ,18419431,10575950,3348987
14,NE,17584246,9968542,3197136
15,GB,17250190,9725593,3136398
16,WAS,16247942,8996685,2954171
17,PIT,15913865,8753720,2893430
18,DET,15496278,8450020,2817505
19,TB,15245713,8267791,2771948
20,SEA,15162202,8207056,2756764
-,MIA,-,-,-
21,LAC,14911637,8024827,2711207
22,BAL,14744604,7903349,2680837
23,MIN,14410528,7660384,2620096
24,JAC,14243495,7538906,2589726
25,NYG,14076432,7417405,2559351
26,DAL,13909419,7295941,2528985
27,BUF,13825898,7235198,2513800
28,CIN,13155702,6747783,2391946
29,"NOfrom SF
via MIA
via DEN",12800789,6489664,2327416
30,PHI,12503491,6273448,2273362
31,KC,12312065,6134229,2238557
Round 2,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
32,PITfrom CHI,9900516,4380376,1800094
33,HOU,9816995,4319633,1784908
34,ARI,9733473,4258890,1769722
35,IND,9566440,4137411,1739353
36,LAR,9499627,4088820,1727205
37,SEAfrom DEN,9349272,3979471,1699868
38,LV,9198958,3870151,1672538
39,CAR,9065321,3772961,1648240
40,NO,8931695,3675778,1623944
41,TEN,8781360,3566444,1596611
42,CLE,8647734,3469261,1572315
43,NYJ,8520402,3376656,1549164
44,ATL,8342057,3246950,1516738
45,GB,8149956,3107241,1481810
46,NE,7896060,2922589,1435647
47,WAS,7729027,2801111,1405278
48,DET,7561974,2679617,1374904
49,PIT,7394951,2558146,1344537
50,TB,7227918,2436668,1314167
51,MIA,7060875,2315182,1283795
52,SEA,6893842,2193703,1253426
53,CHIfrom BAL,6726799,2072217,1223054
54,LAC,6559766,1950739,1192685
55,DETfrom MIN,6476244,1889996,1177499
56,JAC,6426129,1853549,1168387
57,NYG,6342618,1792813,1153203
58,DAL,6225690,1707774,1131944
59,BUF,6175575,1671327,1122832
60,CIN,6108762,1622736,1110684
61,"CHIfrom SF
via CAR",6058647,1586288,1101572
62,PHI,6041948,1574144,1098536
63,KC,6008542,1549849,1092462
Round 3,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
64,CHI,5674302,1306765,1031691
65,HOU,5659668,1296122,1029031
66,ARI,5653087,1291336,1027834
67,DENfrom IND,5642439,1283592,1025898
68,DEN,5625219,1271069,1022767
69,LAR,5592405,1247204,1016801
70,LV,5570056,1230950,1012737
71,NO,5554278,1219475,1009869
72,TEN,5533011,1204008,1006002
73,HOUfrom CLE,5522475,1196346,1004086
74,NYJ,5506186,1184499,1001125
75,ATL,5460128,1151002,992751
76,NEfrom CAR,5454927,1147219,991805
77,MIAfrom NE,5447211,1141608,990402
78,GB,5426670,1126669,986667
79,INDfrom WAS,5407509,1112734,983184
80,PIT,5388348,1098799,979700
81,DET,5374787,1088936,977234
82,TB,5347155,1068840,972210
83,SEA,5327503,1054548,968637
84,MIA,5316497,1046543,966636
85,LAC,5297827,1032965,963241
86,BAL,5280372,1020271,960068
87,MIN,5270838,1013337,958334
88,JAC,5267670,1011033,957758
89,NYG,5266086,1009881,957470
90,DAL,5264502,1008729,957182
91,BUF,5256582,1002969,955742
92,CIN,5240742,991449,952862
93,CARfrom SF,5224902,979929,949982
94,PHI,5209063,968409,947102
95,KC,5193223,956889,944222
"96
(Comp)",ARI,5170271,940197,940049
"97
(Comp)",WAS,5170271,940197,940049
"98
(Comp)",CLE,5170271,940197,940049
"99
(Comp)",SF,5170271,940197,940049
"100
(Comp)",NYG,5170271,940197,940049
"101
(Comp)",SF,5170271,940197,940049
"102
(Comp)",SF,5170271,940197,940049
Round 4,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
103,CHI,5170271,940197,940049
104,HOU,4718497,923497,935874
105,ARI,4698006,903006,930752
106,IND,4695078,900078,930019
107,NEfrom LAR,4689548,894548,928637
108,DEN,4681284,886284,926571
109,LV,4676505,881505,925376
110,ATLfrom TEN,4673272,878272,924568
111,CLE,4668746,873746,923436
112,NYJ,4663729,868729,922182
113,ATL,4657613,862613,920653
114,CAR,4643112,848112,917028
115,NO,4641150,846150,916538
116,GB,4637806,842806,915701
117,NE,4636973,841973,915493
118,WAS,4632789,837789,914447
119,MINfrom DET,4622198,827198,911800
120,PIT,4618817,823817,910954
121,JACfrom TB,4611087,816087,909022
122,KCfrom MIA,4602994,807994,906998
123,SEA,4597843,802843,905711
124,BAL,4592656,797656,904414
125,LAC,4585045,790045,902511
126,CLEfrom MIN,4575576,780576,900144
127,JAC,4575576,780576,900144
128,NYG,4567773,772773,898193
129,DAL,4561552,766552,896638
130,BUF,4552358,757358,894340
131,CIN,4548375,753375,893344
132,CARfrom SF,4539226,744226,891056
133,CHIfrom PHI,4532804,737804,889451
134,KC,4522422,727422,886855
"135
(Comp)",NE,4511556,716556,884139
Round 5,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
-,HOU,-,-,-
136,CHI,4353496,558496,844624
137,BUFfrom ARI,4353496,558496,844624
138,IND,4191899,396899,804225
139,DEN,4188904,393904,803476
140,CLEfrom LAR,4187143,392143,803036
141,LV,4179428,384428,801107
142,CLE,4170272,375272,798818
143,NYJ,4167537,372537,798134
144,LVfrom ATL,4164749,369749,797437
145,CAR,4163820,368820,797205
146,NO,4162891,367891,796973
147,TEN,4156299,361299,795325
148,"CHIfrom NE
via BAL",4153230,358230,794557
149,GB,4151743,356743,794186
150,WAS,4151282,356282,794071
151,SEAfrom PIT,4150443,355443,793861
152,DET,4150182,355182,793796
153,TB,4148124,353124,793281
154,SEA,4145946,350946,792737
155,SFfrom MIA,4142921,347921,791980
156,LAC,4141970,346970,791742
157,BAL,4138737,343737,790934
158,MIN,4137236,342236,790559
159,ATLfrom JAC,4133951,338951,789738
160,NYG,4132516,337516,789379
161,DAL,4126719,331719,787930
162,INDfrom BUF,4125931,330931,787733
163,CIN,4122944,327944,786986
164,SF,4113616,318616,784654
165,NOfrom PHI,4108748,313748,783437
166,KC,4101205,306205,781551
"167
(Comp)",LAR,4097489,302489,780622
"168
(Comp)",ARI,4092843,297843,779461
"169
(Comp)",DAL,4063598,268598,772149
"170
(Comp)",GB,4063598,268598,772149
"171
(Comp)",LAR,4063598,268598,772149
"172
(Comp)",NYG,4063598,268598,772149
"173
(Comp)",SF,4063598,268598,772149
"174
(Comp)",LV,4063598,268598,772149
"175
(Comp)",TB,4063598,268598,772149
"176
(Comp)",DAL,4063598,268598,772149
"177
(Comp)",LAR,4063598,268598,772149
Round 6,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
178,"KCfrom CHI
via MIA",4034352,239352,764838
179,HOU,4027470,232470,763118
180,ARI,4023724,228724,762181
181,TBfrom IND,4019079,224079,761020
182,LAR,4014122,219122,759781
183,DETfrom DEN,4010138,215138,758785
184,NEfrom LV,4007604,212604,758151
185,JACfrom NYJ,4005798,210798,757700
186,TENfrom TEN,4003100,208100,757025
187,NEfrom CAR,4000313,205313,756328
188,HOUfrom NO,3999496,204496,756124
189,LARfrom TEN,3995059,200059,755015
190,CLE,3992324,197324,754331
191,LARfrom GB,3991580,196580,754145
192,NE,3990666,195666,753917
193,WAS,3989819,194819,753705
194,DET,3988645,193645,753411
195,DENfrom PIT,3988370,193370,753342
196,TB,3987983,192983,753246
197,MIA,3987842,192842,753211
198,SEA,3986660,191660,752915
199,BAL,3984891,189891,752473
200,LAC,3983910,188910,752228
201,HOUfrom MIN,3981361,186361,751590
202,JAC,3978752,183752,750938
203,HOUfrom NYG,3976032,181032,750258
204,LVfrom DAL,3975230,180230,750057
205,BUF,3974486,179486,749872
206,CIN,3969752,174752,748688
207,"NYJfrom SF
via HOU",3966891,171891,747973
208,JACfrom PHI,3964081,169081,747270
209,NYGfrom KC,3958938,163938,745985
"210
(Comp)",NE,3941190,146190,741548
"211
(Comp)",MIN,3941190,146190,741548
"212
(Comp)",DAL,3941190,146190,741548
"213
(Comp)",ARI,3941190,146190,741548
"214
(Comp)",LV,3941190,146190,741548
"215
(Comp)",WAS,3941190,146190,741548
"216
(Comp)",SF,3941190,146190,741548
"217
(Comp)",KC,3941190,146190,741548
Round 7,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
