PICK,TEAM,TOTAL_VALUE,SIGNING_BONUS,2023_CAP
1,CARfrom_CHI,40969500,26976000,7449000
2,HOU,39132087,25639699,7114925
3,ARI,37962846,24789342,6902336
4,IND,36626531,23817477,6659369
5,SEAfrom_DEN,34287999,22116726,6234182
6,DETfrom_LAR,30112063,19079682,5474921
7,LV,26771313,16650045,4867511
8,ATL,23430562,14220409,4260102
9,CHIfrom_CAR,23263335,14098789,4229697
10,PHIfrom_NO,22344812,13430772,4062693
11,TEN,20925002,12398183,3804546
12,HOUfrom_CLE,18920540,10940393,3440098
13,NYJ,18419431,10575950,3348987
14,NE,17584246,9968542,3197136
15,GB,17250190,9725593,3136398
16,WAS,16247942,8996685,2954171
17,PIT,15913865,8753720,2893430
18,DET,15496278,8450020,2817505
19,TB,15245713,8267791,2771948
20,SEA,15162202,8207056,2756764
21,MIA,0,0,0
22,LAC,14911637,8024827,2711207
23,BAL,14744604,7903349,2680837
24,MIN,14410528,7660384,2620096
25,JAC,14243495,7538906,2589726
26,NYG,14076432,7417405,2559351
27,DAL,13909419,7295941,2528985
28,BUF,13825898,7235198,2513800
29,CIN,13155702,6747783,2391946
30,"NOfrom_SF
via_MIA
via_DEN",12800789,6489664,2327416
31,PHI,12503491,6273448,2273362
32,KC,12312065,6134229,2238557
33,PITfrom_CHI,9900516,4380376,1800094
34,HOU,9816995,4319633,1784908
35,ARI,9733473,4258890,1769722
36,IND,9566440,4137411,1739353
37,LAR,9499627,4088820,1727205
38,SEAfrom_DEN,9349272,3979471,1699868
39,LV,9198958,3870151,1672538
40,CAR,9065321,3772961,1648240
41,NO,8931695,3675778,1623944
42,TEN,8781360,3566444,1596611
43,CLE,8647734,3469261,1572315
44,NYJ,8520402,3376656,1549164
45,ATL,8342057,3246950,1516738
46,GB,8149956,3107241,1481810
47,NE,7896060,2922589,1435647
48,WAS,7729027,2801111,1405278
49,DET,7561974,2679617,1374904
50,PIT,7394951,2558146,1344537
51,TB,7227918,2436668,1314167
52,MIA,7060875,2315182,1283795
53,SEA,6893842,2193703,1253426
54,CHIfrom_BAL,6726799,2072217,1223054
55,LAC,6559766,1950739,1192685
56,DETfrom_MIN,6476244,1889996,1177499
57,JAC,6426129,1853549,1168387
58,NYG,6342618,1792813,1153203
59,DAL,6225690,1707774,1131944
60,BUF,6175575,1671327,1122832
61,CIN,6108762,1622736,1110684
62,"CHIfrom_SF
via_CAR",6058647,1586288,1101572
63,PHI,6041948,1574144,1098536
64,KC,6008542,1549849,1092462
65,CHI,5674302,1306765,1031691
66,HOU,5659668,1296122,1029031
67,ARI,5653087,1291336,1027834
68,DENfrom_IND,5642439,1283592,1025898
69,DEN,5625219,1271069,1022767
70,LAR,5592405,1247204,1016801
71,LV,5570056,1230950,1012737
72,NO,5554278,1219475,1009869
73,TEN,5533011,1204008,1006002
74,HOUfrom_CLE,5522475,1196346,1004086
75,NYJ,5506186,1184499,1001125
76,ATL,5460128,1151002,992751
77,NEfrom_CAR,5454927,1147219,991805
78,MIAfrom_NE,5447211,1141608,990402
79,GB,5426670,1126669,986667
80,INDfrom_WAS,5407509,1112734,983184
81,PIT,5388348,1098799,979700
82,DET,5374787,1088936,977234
83,TB,5347155,1068840,972210
84,SEA,5327503,1054548,968637
85,MIA,5316497,1046543,966636
86,LAC,5297827,1032965,963241
87,BAL,5280372,1020271,960068
88,MIN,5270838,1013337,958334
89,JAC,5267670,1011033,957758
90,NYG,5266086,1009881,957470
91,DAL,5264502,1008729,957182
92,BUF,5256582,1002969,955742
93,CIN,5240742,991449,952862
94,CARfrom_SF,5224902,979929,949982
95,PHI,5209063,968409,947102
96,KC,5193223,956889,944222
97,ARI,5170271,940197,940049
98,WAS,5170271,940197,940049
99,CLE,5170271,940197,940049
100,SF,5170271,940197,940049
101,NYG,5170271,940197,940049
102,SF,5170271,940197,940049
103,SF,5170271,940197,940049
104,CHI,5170271,940197,940049
105,HOU,4718497,923497,935874
106,ARI,4698006,903006,930752
107,IND,4695078,900078,930019
108,NEfrom_LAR,4689548,894548,928637
109,DEN,4681284,886284,926571
110,LV,4676505,881505,925376
111,ATLfrom_TEN,4673272,878272,924568
112,CLE,4668746,873746,923436
113,NYJ,4663729,868729,922182
114,ATL,4657613,862613,920653
115,CAR,4643112,848112,917028
116,NO,4641150,846150,916538
117,GB,4637806,842806,915701
118,NE,4636973,841973,915493
119,WAS,4632789,837789,914447
120,MINfrom_DET,4622198,827198,911800
121,PIT,4618817,823817,910954
122,JACfrom_TB,4611087,816087,909022
123,KCfrom_MIA,4602994,807994,906998
124,SEA,4597843,802843,905711
125,BAL,4592656,797656,904414
126,LAC,4585045,790045,902511
127,CLEfrom_MIN,4575576,780576,900144
128,JAC,4575576,780576,900144
129,NYG,4567773,772773,898193
130,DAL,4561552,766552,896638
131,BUF,4552358,757358,894340
132,CIN,4548375,753375,893344
133,CARfrom_SF,4539226,744226,891056
134,CHIfrom_PHI,4532804,737804,889451
135,KC,4522422,727422,886855
136,NE,4511556,716556,884139
137,HOU,0,0,0
138,CHI,4353496,558496,844624
139,BUFfrom_ARI,4353496,558496,844624
140,IND,4191899,396899,804225
141,DEN,4188904,393904,803476
142,CLEfrom_LAR,4187143,392143,803036
143,LV,4179428,384428,801107
144,CLE,4170272,375272,798818
145,NYJ,4167537,372537,798134
146,LVfrom_ATL,4164749,369749,797437
147,CAR,4163820,368820,797205
148,NO,4162891,367891,796973
149,TEN,4156299,361299,795325
150,"CHIfrom_NE
via_BAL",4153230,358230,794557
151,GB,4151743,356743,794186
152,WAS,4151282,356282,794071
153,SEAfrom_PIT,4150443,355443,793861
154,DET,4150182,355182,793796
155,TB,4148124,353124,793281
156,SEA,4145946,350946,792737
157,SFfrom_MIA,4142921,347921,791980
158,LAC,4141970,346970,791742
159,BAL,4138737,343737,790934
160,MIN,4137236,342236,790559
161,ATLfrom_JAC,4133951,338951,789738
162,NYG,4132516,337516,789379
163,DAL,4126719,331719,787930
164,INDfrom_BUF,4125931,330931,787733
165,CIN,4122944,327944,786986
166,SF,4113616,318616,784654
167,NOfrom_PHI,4108748,313748,783437
168,KC,4101205,306205,781551
169,LAR,4097489,302489,780622
170,ARI,4092843,297843,779461
171,DAL,4063598,268598,772149
172,GB,4063598,268598,772149
173,LAR,4063598,268598,772149
174,NYG,4063598,268598,772149
175,SF,4063598,268598,772149
176,LV,4063598,268598,772149
177,TB,4063598,268598,772149
178,DAL,4063598,268598,772149
179,LAR,4063598,268598,772149
180,"KCfrom_CHI
via_MIA",4034352,239352,764838
181,HOU,4027470,232470,763118
182,ARI,4023724,228724,762181
183,TBfrom_IND,4019079,224079,761020
184,LAR,4014122,219122,759781
185,DETfrom_DEN,4010138,215138,758785
186,NEfrom_LV,4007604,212604,758151
187,JACfrom_NYJ,4005798,210798,757700
188,TENfrom_TEN,4003100,208100,757025
189,NEfrom_CAR,4000313,205313,756328
190,HOUfrom_NO,3999496,204496,756124
191,LARfrom_TEN,3995059,200059,755015
192,CLE,3992324,197324,754331
193,LARfrom_GB,3991580,196580,754145
194,NE,3990666,195666,753917
195,WAS,3989819,194819,753705
196,DET,3988645,193645,753411
197,DENfrom_PIT,3988370,193370,753342
198,TB,3987983,192983,753246
199,MIA,3987842,192842,753211
200,SEA,3986660,191660,752915
201,BAL,3984891,189891,752473
202,LAC,3983910,188910,752228
203,HOUfrom_MIN,3981361,186361,751590
204,JAC,3978752,183752,750938
205,HOUfrom_NYG,3976032,181032,750258
206,LVfrom_DAL,3975230,180230,750057
207,BUF,3974486,179486,749872
208,CIN,3969752,174752,748688
209,"NYJfrom_SF
via_HOU",3966891,171891,747973
210,JACfrom_PHI,3964081,169081,747270
211,NYGfrom_KC,3958938,163938,745985
212,NE,3941190,146190,741548
213,MIN,3941190,146190,741548
214,DAL,3941190,146190,741548
215,ARI,3941190,146190,741548
216,LV,3941190,146190,741548
217,WAS,3941190,146190,741548
218,SF,3941190,146190,741548
219,KC,3941190,146190,741548
220,CHI,3941190,146190,741548
221,"PHIfrom_HOU
via_MIN",3941190,146190,741548
222,LVfrom_ARI,3923435,128435,737109
223,IND,3923019,128019,737005
224,SFfrom_DEN,3920418,125418,736354
225,LAR,3919422,124422,736105
226,ATLfrom_LV,3916047,121047,735262
227,ATL,3913416,118416,734604
228,JACfrom_CAR,3911551,116551,734138
229,NO,3911031,116031,734008
230,TEN,3910659,115659,733915
231,CLE,3909864,114864,733716
232,TBfrom_NYJ,3907597,112597,733149
233,LVfrom_NE,3906958,111958,732989
234,GB,3906943,111943,732986
235,WAS,3905412,110412,732603
236,PIT,3905367,110367,732592
237,"GBfrom_DET
via_LAR",3904951,109951,732488
238,INDfrom_TB,3902484,107484,731871
239,SEA,3900626,105626,731406
240,MIA,3898961,103961,730990
241,LAC,3894613,99613,729903
242,NYGfrom_BAL,3890488,95488,728872
243,"PITfrom_MIN
via_DEN",3889537,94537,728634
244,GBfrom_JAC,3888556,93556,728389
245,NYG,3887575,92575,728144
246,DAL,3886847,91847,727962
247,ATLfrom_BUF,3886044,91044,727761
