"","yearly_id","cluster"
"1","2017_00-0024421","Cluster 2"
"2","2017_00-0024061","Cluster 6"
"3","2017_00-0027943","Cluster 6"
"4","2017_00-0029530","Cluster 2"
"5","2017_00-0030459","Cluster 9"
"6","2017_00-0031357","Cluster 3"
"7","2017_00-0032798","Cluster 3"
"8","2017_00-0033890","Cluster 9"
"9","2017_00-0024306","Cluster 12"
"10","2017_00-0027686","Cluster 10"
"11","2017_00-0030883","Cluster 7"
"12","2017_00-0032131","Cluster 8"
"13","2017_00-0031713","Cluster 10"
"14","2017_00-0031914","Cluster 12"
"15","2017_00-0032761","Cluster 8"
"16","2017_00-0028278","Cluster 4"
"17","2017_00-0029585","Cluster 11"
"18","2017_00-0031366","Cluster 4"
"19","2017_00-0031050","Cluster 11"
"20","2017_00-0033875","Cluster 2"
"21","2017_00-0030562","Cluster 6"
"22","2017_00-0030528","Cluster 6"
"23","2017_00-0030541","Cluster 5"
"24","2017_00-0030427","Cluster 5"
"25","2017_00-0031181","Cluster 9"
"26","2017_00-0032382","Cluster 9"
"27","2017_00-0032592","Cluster 3"
"28","2017_00-0032596","Cluster 2"
"29","2017_00-0033512","Cluster 5"
"30","2017_00-0026330","Cluster 10"
"31","2017_00-0027958","Cluster 11"
"32","2017_00-0027980","Cluster 7"
"33","2017_00-0029688","Cluster 12"
"34","2017_00-0029627","Cluster 8"
"35","2017_00-0029111","Cluster 12"
"36","2017_00-0031583","Cluster 12"
"37","2017_00-0033540","Cluster 7"
"38","2017_00-0029955","Cluster 3"
"39","2017_00-0032240","Cluster 11"
"40","2017_00-0032388","Cluster 4"
"41","2017_00-0032401","Cluster 4"
"42","2017_00-0033549","Cluster 1"
"43","2017_00-0025424","Cluster 9"
"44","2017_00-0026280","Cluster 6"
"45","2017_00-0027539","Cluster 5"
"46","2017_00-0027965","Cluster 6"
"47","2017_00-0030294","Cluster 9"
"48","2017_00-0031232","Cluster 3"
"49","2017_00-0032438","Cluster 2"
"50","2017_00-0033281","Cluster 2"
"51","2017_00-0033294","Cluster 5"
"52","2017_00-0033826","Cluster 3"
"53","2017_00-0030511","Cluster 10"
"54","2017_00-0031177","Cluster 12"
"55","2017_00-0031938","Cluster 8"
"56","2017_00-0031576","Cluster 11"
"57","2017_00-0032409","Cluster 12"
"58","2017_00-0032574","Cluster 10"
"59","2017_00-0033913","Cluster 7"
"60","2017_00-0022161","Cluster 11"
"61","2017_00-0031296","Cluster 4"
"62","2017_00-0032386","Cluster 5"
"63","2017_00-0032415","Cluster 11"
"64","2017_00-0032573","Cluster 1"
"65","2017_00-0033283","Cluster 7"
"66","2017_00-0033915","Cluster 7"
"67","2017_00-0033376","Cluster 8"
"68","2017_00-0028027","Cluster 2"
"69","2017_00-0029087","Cluster 2"
"70","2017_00-0030412","Cluster 5"
"71","2017_00-0030090","Cluster 9"
"72","2017_00-0030114","Cluster 9"
"73","2017_00-0031394","Cluster 6"
"74","2017_00-0032136","Cluster 3"
"75","2017_00-0032617","Cluster 3"
"76","2017_00-0033884","Cluster 6"
"77","2017_00-0024348","Cluster 12"
"78","2017_00-0027881","Cluster 11"
"79","2017_00-0028424","Cluster 8"
"80","2017_00-0029257","Cluster 8"
"81","2017_00-0029053","Cluster 7"
"82","2017_00-0033096","Cluster 11"
"83","2017_00-0033037","Cluster 10"
"84","2017_00-0032480","Cluster 7"
"85","2017_00-0023259","Cluster 4"
"86","2017_00-0026672","Cluster 1"
"87","2017_00-0030197","Cluster 5"
"88","2017_00-0031171","Cluster 4"
"89","2017_00-0033571","Cluster 1"
"90","2017_00-0033580","Cluster 3"
"91","2017_00-0033450","Cluster 1"
"92","2017_00-0022247","Cluster 9"
"93","2017_00-0026944","Cluster 2"
"94","2017_00-0027835","Cluster 9"
"95","2017_00-0028128","Cluster 1"
"96","2017_00-0031829","Cluster 3"
"97","2017_00-0032890","Cluster 6"
"98","2017_00-0032891","Cluster 6"
"99","2017_00-0032942","Cluster 5"
"100","2017_00-0033339","Cluster 2"
"101","2017_00-0021140","Cluster 11"
"102","2017_00-0027236","Cluster 8"
"103","2017_00-0028339","Cluster 11"
"104","2017_00-0030455","Cluster 10"
"105","2017_00-0030448","Cluster 10"
"106","2017_00-0030251","Cluster 7"
"107","2017_00-0032967","Cluster 8"
"108","2017_00-0033285","Cluster 7"
"109","2017_00-0033408","Cluster 7"
"110","2017_00-0023448","Cluster 4"
"111","2017_00-0029248","Cluster 4"
"112","2017_00-0031550","Cluster 1"
"113","2017_00-0031596","Cluster 5"
"114","2017_00-0027743","Cluster 5"
"115","2017_00-0027957","Cluster 6"
"116","2017_00-0030127","Cluster 5"
"117","2017_00-0031041","Cluster 6"
"118","2017_00-0031584","Cluster 9"
