season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,DeSean Jackson,4363,WR,LV,1,0,0,,0,0,23,,60,60,,60,,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2021,Calais Campbell,4364,DI,BLT,15,12,1,,1,0,3,70,80.8,87.5,69.5,77.9,52.5,11,19,0,,9.8,5,0,1,0,0,1,2,0,1,615,613,97,230,67,219,0,2,423,191,0,24,34,0,31,0,0,0,
2021,Matthew Slater,4467,WR,NE,1,0,0,,0,0,19,60.7,70.2,60,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2021,Malcolm Jenkins,4937,S,NO,16,17,0,70.4,0,1,20,60.8,64.5,89,57.3,70.6,62.5,1,3,1,31,11.8,11,4,2,92.2,38,1,295,48,629,1042,143,0,0,143,0,330,899,50,363,226,27,65,54,5,2,348,164,9.2
2021,Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,25,16,4,3,0,114.6,10,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,14,0,1,98,29,9.8
2021,Steve McLendon,5232,DI,TB,12,3,0,,1,1,30,66.9,67.6,58.4,65.4,60,50,5,7,1,,8.3,1,0,1,0,0,1,0,0,3,252,252,18,190,0,44,0,0,165,84,0,7,8,0,13,0,0,0,
2021,Ndamukong Suh,5527,DI,TB,17,8,1,100,0,0,30,57.6,49.4,56.8,54.2,50.2,43.7,7,24,0,5,19.2,5,0,3,87.5,1,6,4,0,8,718,714,9,352,42,311,0,4,516,194,0,14,13,1,37,0,5,2,5
2021,Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,,48.2,73.2,55.2,53.3,,0,0,0,,,0,0,0,0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,
2021,Joe Haden,5532,CB,PIT,12,10,0,65.3,0,1,25,65,63.4,85.5,,51.1,46.6,0,0,0,50,16.3,8,6,1,114.2,32,0,52,567,400,631,3,0,0,3,0,0,628,0,231,9,10,31,49,0,4,358,126,11.2
2021,Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,,59.7,78.7,59.4,58.2,40.8,1,1,0,,16.7,1,0,0,0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,2,0,0,0,
2021,Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,,62.6,79.9,60.6,61,25.6,1,1,0,,50,2,0,0,0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,0,2,0,0,0,
2021,Jason Pierre-Paul,5540,ED,TB,12,7,4,100,0,1,30,64.6,49.1,52.1,53.2,44.8,55.6,3,18,0,24,16.7,6,0,3,134.2,10,3,12,0,49,601,585,0,7,568,10,0,16,388,164,4,14,23,10,24,1,82,56,8.2
2021,Kareem Jackson,5545,S,DEN,15,11,0,75,0,0,10,48.5,52,93.5,61,56.8,50.6,0,0,1,23,17.1,18,1,0,111.8,24,1,254,2,531,895,3,0,0,3,0,528,892,2,362,108,15,76,32,1,3,223,106,9.3
2021,Devin McCourty,5552,S,NE,17,16,0,45.5,0,0,19,76.2,76,87.8,52.3,72.6,74.2,0,1,3,33,9.1,6,8,0,26.1,10,0,191,14,589,1019,8,0,0,8,0,744,1011,6,424,61,1,44,22,1,0,136,32,13.6
2021,Jerry Hughes,5556,ED,BUF,17,3,3,50,2,2,4,52.3,71.1,32.5,81.1,58.5,25.4,3,39,0,18,33.3,7,0,5,63.5,2,3,3,0,20,557,553,0,2,539,12,0,4,343,194,1,10,11,4,45,0,19,11,9.5
2021,Linval Joseph,5571,DI,LAC,14,14,0,,1,0,27,67.1,63.4,60.9,83,49.8,61.4,1,14,0,,5,3,0,2,0,0,1,0,0,0,550,550,340,209,0,1,0,0,252,298,0,28,43,0,16,0,0,0,
