"","yearly_id","down1","down2","down3","down4"
"1","2016_00-0019596",97.4293059125964,97.029702970297,96.039603960396,100
"2","2016_00-0020337",69.6172248803828,75.3086419753086,76.8518518518518,52.9411764705882
"3","2016_00-0020531",99.7641509433962,100,100,100
"4","2016_00-0020679",26.3636363636364,29.3478260869565,29.5081967213115,25
"5","2016_00-0021206",81.7518248175183,80.8080808080808,81.8181818181818,90
"6","2016_00-0021429",97.1887550200803,96.969696969697,96.7441860465116,100
"7","2016_00-0021547",50.3562945368171,61.6666666666667,93.5483870967742,92.3076923076923
"8","2016_00-0021678",18.5185185185185,5.88235294117647,8.33333333333333,0
"9","2016_00-0022084",82.4175824175824,79.9450549450549,87.1681415929203,80
"10","2016_00-0022127",96.2655601659751,96.3276836158192,95.4314720812183,75
"11","2016_00-0022531",97.5225225225225,97.1988795518207,95.1219512195122,100
"12","2016_00-0022787",8,11.1111111111111,17.6470588235294,0
"13","2016_00-0022803",100,100,100,100
"14","2016_00-0022921",90.8918406072106,93.2642487046632,93.9914163090129,90
"15","2016_00-0022924",98.3173076923077,99.3865030674847,99.5327102803738,100
"16","2016_00-0022942",99.58071278826,99.4236311239193,99.0566037735849,100
"17","2016_00-0022999",21.2264150943396,17.8571428571429,32.093023255814,9.09090909090909
"18","2016_00-0023436",95.9641255605381,95.1219512195122,94.3478260869565,92.3076923076923
"19","2016_00-0023459",99.034749034749,99.1869918699187,98.4126984126984,94.4444444444444
"20","2016_00-0023496",84.1059602649007,85.9504132231405,96.3414634146341,100
"21","2016_00-0023500",71.1422845691383,68.5236768802228,15.8371040723982,20
"22","2016_00-0023514",73.7704918032787,73.9583333333333,72.8813559322034,0
"23","2016_00-0023516",99.7630331753555,99.6894409937888,99.5145631067961,100
"24","2016_00-0023534",0,0,0,100
"25","2016_00-0023564",47.1744471744472,47.2727272727273,69.7368421052632,65.2173913043478
"26","2016_00-0023639",92.2872340425532,94.6488294314381,93.9393939393939,82.3529411764706
"27","2016_00-0023645",30.6122448979592,26.6666666666667,14.9253731343284,20
"28","2016_00-0023662",33.3333333333333,44,47.0588235294118,100
