"","yearly_id","offense_personnel","snap_count","team_snaps","snap_personnel_usage"
"1","2021_00-0019596","0 RB, 0 TE, 5 WR",3,3,100
"2","2021_00-0019596","0 RB, 1 TE, 4 WR",5,5,100
"3","2021_00-0019596","0 RB, 2 TE, 3 WR",11,11,100
"4","2021_00-0019596","0 RB, 3 TE, 2 WR",5,5,100
"5","2021_00-0019596","1 RB, 0 TE, 4 WR",22,22,100
"6","2021_00-0019596","1 RB, 1 TE, 3 WR",791,810,97.6543209876543
"7","2021_00-0019596","1 RB, 2 TE, 2 WR",234,249,93.9759036144578
"8","2021_00-0019596","1 RB, 3 TE, 1 WR",49,59,83.0508474576271
"9","2021_00-0022531","0 RB, 2 TE, 3 WR",2,2,100
"10","2021_00-0022531","0 RB, 3 TE, 2 WR",2,2,100
"11","2021_00-0022531","0 RB, 4 TE, 1 WR",1,1,100
"12","2021_00-0022531","1 RB, 0 TE, 4 WR",6,6,100
"13","2021_00-0022531","1 RB, 1 TE, 3 WR",456,559,81.5742397137746
"14","2021_00-0022531","1 RB, 2 TE, 2 WR",178,190,93.6842105263158
"15","2021_00-0022531","1 RB, 3 TE, 1 WR",56,58,96.551724137931
"16","2021_00-0022531","1 RB, 4 TE, 0 WR",1,1,100
"17","2021_00-0022531","2 RB, 0 TE, 3 WR",4,5,80
"18","2021_00-0022531","2 RB, 1 TE, 2 WR",13,13,100
"19","2021_00-0022531","2 RB, 2 TE, 1 WR",1,1,100
"20","2021_00-0022531","3 RB, 1 TE, 1 WR",4,4,100
"21","2021_00-0022924","1 RB, 0 TE, 4 WR",6,6,100
"22","2021_00-0022924","1 RB, 1 TE, 3 WR",825,835,98.8023952095808
"23","2021_00-0022924","1 RB, 2 TE, 2 WR",190,190,100
"24","2021_00-0022924","1 RB, 3 TE, 1 WR",15,15,100
"25","2021_00-0022924","2 RB, 0 TE, 3 WR",14,14,100
"26","2021_00-0022924","2 RB, 1 TE, 2 WR",23,23,100
"27","2021_00-0022924","2 RB, 2 TE, 1 WR",30,30,100
"28","2021_00-0022924","2 RB, 3 TE, 0 WR",4,4,100
"29","2021_00-0023459","0 RB, 0 TE, 5 WR",1,1,100
"30","2021_00-0023459","1 RB, 0 TE, 4 WR",42,42,100
