"","yearly_id","WR","snap_count","team_snaps","snap_personnel_usage"
"1","2021_00-0019596",1,49,59,83.0508474576271
"2","2021_00-0019596",2,239,254,94.0944881889764
"3","2021_00-0019596",3,802,821,97.6857490864799
"4","2021_00-0019596",4,27,27,100
"5","2021_00-0019596",5,3,3,100
"6","2021_00-0022531",0,1,1,100
"7","2021_00-0022531",1,62,64,96.875
"8","2021_00-0022531",2,193,205,94.1463414634146
"9","2021_00-0022531",3,462,566,81.6254416961131
"10","2021_00-0022531",4,6,6,100
"11","2021_00-0022924",0,4,4,100
"12","2021_00-0022924",1,45,45,100
"13","2021_00-0022924",2,213,213,100
"14","2021_00-0022924",3,839,849,98.8221436984688
"15","2021_00-0022924",4,6,6,100
"16","2021_00-0023459",1,18,23,78.2608695652174
"17","2021_00-0023459",2,313,332,94.2771084337349
"18","2021_00-0023459",3,621,666,93.2432432432432
"19","2021_00-0023459",4,42,42,100
"20","2021_00-0023459",5,1,1,100
"21","2021_00-0023682",2,5,15,33.3333333333333
"22","2021_00-0023682",3,11,38,28.9473684210526
"23","2021_00-0024243",1,20,23,86.9565217391304
"24","2021_00-0024243",2,276,360,76.6666666666667
"25","2021_00-0024243",3,179,683,26.207906295754
"26","2021_00-0024243",4,0,61,0
"27","2021_00-0024243",5,0,1,0
"28","2021_00-0024270",1,2,2,100
"29","2021_00-0024270",2,97,115,84.3478260869565
"30","2021_00-0024270",3,886,914,96.9365426695842
"31","2021_00-0024270",4,26,26,100
"32","2021_00-0024270",NA,0,1,0
"33","2021_00-0025394",1,7,21,33.3333333333333
"34","2021_00-0025394",2,20,51,39.2156862745098
"35","2021_00-0025394",3,37,195,18.974358974359
"36","2021_00-0025394",4,0,1,0
"37","2021_00-0025394",NA,2,2,100
"38","2021_00-0026035",1,0,31,0
"39","2021_00-0026035",2,2,154,1.2987012987013
"40","2021_00-0026035",3,190,307,61.8892508143323
"41","2021_00-0026035",4,1,1,100
"42","2021_00-0026143",0,11,11,100
"43","2021_00-0026143",1,208,208,100
"44","2021_00-0026143",2,440,452,97.3451327433628
"45","2021_00-0026143",3,301,319,94.3573667711599
"46","2021_00-0026143",4,1,1,100
"47","2021_00-0026158",1,0,1,0
"48","2021_00-0026158",2,16,21,76.1904761904762
"49","2021_00-0026158",3,35,87,40.2298850574713
"50","2021_00-0026158",4,13,26,50
"51","2021_00-0026166",1,41,41,100
"52","2021_00-0026166",2,287,291,98.6254295532646
"53","2021_00-0026166",3,639,656,97.4085365853659
"54","2021_00-0026166",4,1,1,100
"55","2021_00-0026166",NA,17,17,100
"56","2021_00-0026189",0,0,1,0
"57","2021_00-0026189",1,2,44,4.54545454545455
"58","2021_00-0026189",2,73,206,35.4368932038835
"59","2021_00-0026189",3,248,852,29.1079812206573
"60","2021_00-0026189",4,4,4,100
"61","2021_00-0026197",1,7,27,25.9259259259259
"62","2021_00-0026197",2,5,47,10.6382978723404
"63","2021_00-0026197",3,19,212,8.9622641509434
"64","2021_00-0026293",1,8,16,50
"65","2021_00-0026293",2,0,148,0
"66","2021_00-0026293",3,0,217,0
"67","2021_00-0026293",4,0,2,0
"68","2021_00-0026300",0,0,3,0
"69","2021_00-0026300",1,10,10,100
"70","2021_00-0026300",2,10,35,28.5714285714286
"71","2021_00-0026300",3,92,143,64.3356643356643
"72","2021_00-0026300",4,18,32,56.25
"73","2021_00-0026498",1,2,2,100
"74","2021_00-0026498",2,120,136,88.2352941176471
"75","2021_00-0026498",3,1099,1104,99.5471014492754
"76","2021_00-0026498",4,26,26,100
"77","2021_00-0026498",NA,1,1,100
"78","2021_00-0026544",0,0,2,0
"79","2021_00-0026544",1,3,7,42.8571428571429
"80","2021_00-0026544",2,1,24,4.16666666666667
"81","2021_00-0026544",3,1,40,2.5
"82","2021_00-0026625",1,4,13,30.7692307692308
"83","2021_00-0026625",2,13,83,15.6626506024096
"84","2021_00-0026625",3,9,156,5.76923076923077
"85","2021_00-0026982",1,9,16,56.25
"86","2021_00-0026982",2,7,25,28
"87","2021_00-0026982",3,19,30,63.3333333333333
"88","2021_00-0026997",0,6,6,100
"89","2021_00-0026997",1,95,97,97.9381443298969
"90","2021_00-0026997",2,516,516,100
"91","2021_00-0026997",3,610,615,99.1869918699187
"92","2021_00-0026997",4,1,1,100
"93","2021_00-0027061",0,6,6,100
"94","2021_00-0027061",1,44,55,80
"95","2021_00-0027061",2,119,313,38.0191693290735
"96","2021_00-0027061",3,477,694,68.7319884726225
"97","2021_00-0027061",4,1,3,33.3333333333333
"98","2021_00-0027648",1,85,122,69.672131147541
"99","2021_00-0027648",2,270,319,84.6394984326019
"100","2021_00-0027648",3,530,625,84.8
"101","2021_00-0027648",4,4,5,80
"102","2021_00-0027656",1,45,47,95.7446808510638
"103","2021_00-0027656",2,171,194,88.1443298969072
"104","2021_00-0027656",3,442,596,74.1610738255034
"105","2021_00-0027656",4,0,14,0
"106","2021_00-0027656",5,0,3,0
"107","2021_00-0027685",1,0,5,0
"108","2021_00-0027685",2,88,168,52.3809523809524
"109","2021_00-0027685",3,604,762,79.2650918635171
"110","2021_00-0027685",4,90,92,97.8260869565217
"111","2021_00-0027685",5,10,10,100
"112","2021_00-0027688",1,2,11,18.1818181818182
"113","2021_00-0027688",2,60,109,55.045871559633
"114","2021_00-0027688",3,124,286,43.3566433566434
"115","2021_00-0027688",4,8,82,9.75609756097561
"116","2021_00-0027688",5,0,1,0
"117","2021_00-0027691",0,0,3,0
"118","2021_00-0027691",1,0,34,0
"119","2021_00-0027691",2,6,131,4.58015267175572
"120","2021_00-0027691",3,27,311,8.68167202572347
"121","2021_00-0027691",4,0,1,0
"122","2021_00-0027696",0,1,1,100
"123","2021_00-0027696",1,51,64,79.6875
"124","2021_00-0027696",2,106,192,55.2083333333333
"125","2021_00-0027696",3,66,586,11.2627986348123
"126","2021_00-0027696",4,0,4,0
"127","2021_00-0027793",1,0,20,0
"128","2021_00-0027793",2,39,120,32.5
"129","2021_00-0027793",3,207,281,73.6654804270463
"130","2021_00-0027793",4,17,18,94.4444444444444
"131","2021_00-0027857",0,6,6,100
"132","2021_00-0027857",1,82,88,93.1818181818182
"133","2021_00-0027857",2,468,471,99.3630573248408
"134","2021_00-0027857",3,517,541,95.5637707948244
"135","2021_00-0027857",4,1,1,100
"136","2021_00-0027875",1,0,4,0
"137","2021_00-0027875",2,17,27,62.962962962963
"138","2021_00-0027875",3,28,45,62.2222222222222
