"","yearly_id","cluster_xgboost"
"1","2016_00-0020337","Cluster 3"
"2","2016_00-0022084","Cluster 7"
"3","2016_00-0022921","Cluster 3"
"4","2016_00-0023496","Cluster 5"
"5","2016_00-0024334","Cluster 5"
"6","2016_00-0025396","Cluster 5"
"7","2016_00-0026035","Cluster 7"
"8","2016_00-0026176","Cluster 3"
"9","2016_00-0026182","Cluster 7"
"10","2016_00-0026189","Cluster 5"
"11","2016_00-0026345","Cluster 3"
"12","2016_00-0026739","Cluster 7"
"13","2016_00-0026901","Cluster 3"
"14","2016_00-0026983","Cluster Other"
"15","2016_00-0026995","Cluster 3"
"16","2016_00-0027006","Cluster 3"
"17","2016_00-0027150","Cluster 3"
"18","2016_00-0027265","Cluster 5"
"19","2016_00-0027681","Cluster 3"
"20","2016_00-0027685","Cluster 5"
"21","2016_00-0027690","Cluster 5"
"22","2016_00-0027691","Cluster 6"
"23","2016_00-0027793","Cluster 3"
"24","2016_00-0027874","Cluster 3"
"25","2016_00-0027891","Cluster 3"
"26","2016_00-0027902","Cluster 5"
"27","2016_00-0027942","Cluster 3"
"28","2016_00-0027944","Cluster 3"
"29","2016_00-0027996","Cluster 5"
"30","2016_00-0028002","Cluster 7"
"31","2016_00-0028091","Cluster 7"
"32","2016_00-0028116","Cluster 6"
"33","2016_00-0028237","Cluster 3"
"34","2016_00-0028411","Cluster 3"
"35","2016_00-0028434","Cluster 3"
"36","2016_00-0028497","Cluster 7"
"37","2016_00-0028825","Cluster 5"
"38","2016_00-0029000","Cluster 7"
"39","2016_00-0029137","Cluster 3"
"40","2016_00-0029159","Cluster 5"
"41","2016_00-0029269","Cluster 7"
"42","2016_00-0029293","Cluster 5"
"43","2016_00-0029580","Cluster 3"
"44","2016_00-0029608","Cluster 3"
"45","2016_00-0029632","Cluster 3"
"46","2016_00-0029638","Cluster 5"
"47","2016_00-0029640","Cluster 5"
"48","2016_00-0029708","Cluster 7"
"49","2016_00-0030035","Cluster 3"
"50","2016_00-0030068","Cluster 5"
"51","2016_00-0030085","Cluster 5"
"52","2016_00-0030113","Cluster 6"
"53","2016_00-0030147","Cluster 6"
"54","2016_00-0030279","Cluster Other"
"55","2016_00-0030300","Cluster 6"
"56","2016_00-0030431","Cluster 3"
"57","2016_00-0030460","Cluster 5"
"58","2016_00-0030516","Cluster 6"
"59","2016_00-0030525","Cluster 7"
"60","2016_00-0030542","Cluster 3"
"61","2016_00-0030564","Cluster 3"
"62","2016_00-0030663","Cluster 7"
"63","2016_00-0030669","Cluster 7"
"64","2016_00-0030670","Cluster 6"
"65","2016_00-0030801","Cluster 6"
"66","2016_00-0030821","Cluster 5"
"67","2016_00-0030990","Cluster Other"
"68","2016_00-0031023","Cluster 7"
"69","2016_00-0031051","Cluster 5"
"70","2016_00-0031068","Cluster Other"
"71","2016_00-0031118","Cluster 7"
"72","2016_00-0031228","Cluster Other"
"73","2016_00-0031235","Cluster 3"
"74","2016_00-0031236","Cluster 3"
"75","2016_00-0031257","Cluster 6"
"76","2016_00-0031299","Cluster 3"
"77","2016_00-0031325","Cluster 5"
"78","2016_00-0031339","Cluster 5"
"79","2016_00-0031344","Cluster 6"
"80","2016_00-0031359","Cluster 5"
"81","2016_00-0031381","Cluster 3"
"82","2016_00-0031382","Cluster 3"
"83","2016_00-0031408","Cluster 5"
"84","2016_00-0031428","Cluster 5"
"85","2016_00-0031431","Cluster 5"
"86","2016_00-0031545","Cluster 5"
"87","2016_00-0031547","Cluster 3"
"88","2016_00-0031549","Cluster 5"
"89","2016_00-0031560","Cluster 7"
"90","2016_00-0031570","Cluster 6"
"91","2016_00-0031588","Cluster 3"
"92","2016_00-0031782","Cluster 7"
"93","2016_00-0031818","Cluster Other"
"94","2016_00-0031912","Cluster 3"
"95","2016_00-0031941","Cluster 7"
"96","2016_00-0032009","Cluster 7"
"97","2016_00-0032054","Cluster 6"
"98","2016_00-0032112","Cluster 6"
"99","2016_00-0032128","Cluster 3"
"100","2016_00-0032160","Cluster 3"
"101","2016_00-0032166","Cluster 6"
"102","2016_00-0032170","Cluster Other"
"103","2016_00-0032208","Cluster 5"
"104","2016_00-0032211","Cluster 7"
"105","2016_00-0032218","Cluster 5"
"106","2016_00-0032385","Cluster 3"
"107","2016_00-0032398","Cluster Other"
"108","2016_00-0032441","Cluster 6"
"109","2016_00-0032688","Cluster 5"
"110","2016_00-0032760","Cluster 6"
"111","2016_00-0032765","Cluster 3"
"112","2016_00-0032778","Cluster 5"
"113","2016_00-0032881","Cluster Other"
"114","2016_00-0032959","Cluster 6"
"115","2016_00-0033009","Cluster 7"
"116","2016_00-0033040","Cluster Other"
"117","2016_00-0033060","Cluster 6"
"118","2016_00-0033079","Cluster 6"
"119","2016_00-0033114","Cluster Other"
"120","2016_00-0033127","Cluster 5"
"121","2017_00-0022921","Cluster 3"
"122","2017_00-0024334","Cluster 5"
"123","2017_00-0025396","Cluster 3"
"124","2017_00-0026035","Cluster 7"
"125","2017_00-0026176","Cluster 5"
"126","2017_00-0026189","Cluster 5"
"127","2017_00-0026224","Cluster Other"
"128","2017_00-0026345","Cluster 3"
"129","2017_00-0026901","Cluster 5"
"130","2017_00-0026995","Cluster 5"
"131","2017_00-0027006","Cluster 6"
"132","2017_00-0027057","Cluster 6"
"133","2017_00-0027089","Cluster 6"
"134","2017_00-0027654","Cluster 6"
